Dataset,Algorithm,VocabSize,Mean Length,Mean Frequency
BBBP,MGSSL,41.2,4.388966318234611,18.11011823280339
BBBP,RBRICS,173.8,4.784497989835262,7.3152926998536385
Lipophilicity,MGSSL,77.0,7.015722943722944,18.242271856769747
Lipophilicity,RBRICS,220.8,5.774342032028622,12.7609172841881
Mutagenicity,MGSSL,197.6,7.416998619152244,10.380602708457237
Mutagenicity,RBRICS,556.4,6.398680099438787,6.51028969274495
esol,MGSSL,37.4,4.614762130551604,7.163092261969261
esol,RBRICS,75.8,4.131801321485532,3.7500839094450233
hERG,MGSSL,163.6,8.869529728125286,24.963593559044746
hERG,RBRICS,504.8,6.302284317761147,19.237788986914683
